Area,Item,Value
Algeria,Coffee and products,4
Algeria,Cocoa Beans and products,4
Algeria,Tea (including mate),0
Algeria,Pepper,0
Algeria,Pimento,4
Algeria,Cloves,0
Algeria,"Spices, Other",2
Algeria,Wine,0
Algeria,Beer,5
Algeria,"Beverages, Fermented",0
Algeria,"Beverages, Alcoholic",1
Algeria,Bovine Meat,24
Algeria,Mutton & Goat Meat,45
Algeria,Pigmeat,0
Algeria,Poultry Meat,22
Algeria,"Meat, Other",1
Algeria,"Offals, Edible",5
Algeria,"Butter, Ghee",9
Algeria,Cream,0
Algeria,"Fats, Animals, Raw",6
Algeria,"Fish, Body Oil",0
Algeria,"Fish, Liver Oil",0
Algeria,Eggs,23
Algeria,Milk - Excluding Butter,252
Algeria,Freshwater Fish,0
Algeria,Demersal Fish,0
Algeria,Pelagic Fish,7
Algeria,"Marine Fish, Other",1
Algeria,Crustaceans,0
Algeria,Cephalopods,0
Algeria,"Molluscs, Other",0
Algeria,"Aquatic Animals, Others",0
Algeria,Aquatic Plants,0
Algeria,Infant food,5
Algeria,Miscellaneous,2
Angola,Wheat and products,193
Angola,Rice and products,158
Angola,Barley and products,0
Angola,Maize and products,399
Angola,Oats,0
Angola,Millet and products,11
Angola,Sorghum and products,0
Angola,"Cereals, Other",0
Angola,Cassava and products,608
Angola,Potatoes and products,21
Angola,Sweet potatoes,104
Angola,"Roots, Other",0
Angola,Sugar (Raw Equivalent),120
Angola,"Sweeteners, Other",10
Angola,Honey,6
Angola,Beans,67
Angola,"Pulses, Other and products",7
Angola,Nuts and products,0
Angola,Soyabeans,3
Angola,Groundnuts,35
Angola,Rape and Mustardseed,0
Angola,Coconuts - Incl Copra,0
Angola,Sesame seed,1
Angola,Olives (including preserved),0
Angola,Soyabean Oil,68
Angola,Groundnut Oil,22
Angola,Sunflowerseed Oil,6
Angola,Rape and Mustard Oil,0
Angola,Cottonseed Oil,0
Angola,Palmkernel Oil,6
Angola,Palm Oil,168
Angola,Coconut Oil,0
Angola,Sesameseed Oil,0
Angola,Olive Oil,2
Angola,Maize Germ Oil,0
Angola,"Oilcrops Oil, Other",11
Angola,Tomatoes and products,1
Angola,Onions,1
Angola,"Vegetables, other",13
Angola,"Oranges, Mandarines",0
Angola,"Lemons, Limes and products",0
Angola,Grapefruit and products,0
Angola,"Citrus, Other",10
Angola,Bananas,72
Angola,Apples and products,0
Angola,Pineapples and products,15
Angola,Dates,0
Angola,Grapes and products (excl wine),0
Angola,"Fruits, other",6
Angola,Coffee and products,1
Angola,Cocoa Beans and products,1
Angola,Tea (including mate),0
Angola,Pepper,0
Angola,Pimento,0
Angola,Cloves,0
Angola,"Spices, Other",0
Angola,Wine,2
Angola,Beer,44
Angola,"Beverages, Fermented",23
Angola,"Beverages, Alcoholic",9
Angola,Bovine Meat,21
Angola,Mutton & Goat Meat,4
Angola,Pigmeat,77
Angola,Poultry Meat,33
Angola,"Meat, Other",1
Angola,"Offals, Edible",4
Angola,"Butter, Ghee",1
Angola,Cream,1
Angola,"Fats, Animals, Raw",9
Angola,"Fish, Body Oil",0
Angola,Eggs,0
Angola,Milk - Excluding Butter,12
Angola,Freshwater Fish,2
Angola,Demersal Fish,3
Angola,Pelagic Fish,17
Angola,"Marine Fish, Other",2
Angola,Crustaceans,0
Angola,Cephalopods,0
Angola,"Molluscs, Other",0
Angola,"Aquatic Animals, Others",0
Angola,Aquatic Plants,0
Angola,Infant food,1
Angola,Miscellaneous,2
Antigua and Barbuda,Wheat and products,585
Antigua and Barbuda,Rice and products,121
Antigua and Barbuda,Barley and products,0
Antigua and Barbuda,Maize and products,13
Antigua and Barbuda,Rye and products,0
Antigua and Barbuda,Oats,12
Antigua and Barbuda,Millet and products,0
Antigua and Barbuda,"Cereals, Other",6
Antigua and Barbuda,Cassava and products,2
Antigua and Barbuda,Potatoes and products,23
Antigua and Barbuda,Sweet potatoes,6
Antigua and Barbuda,Yams,3
Antigua and Barbuda,"Roots, Other",3
Antigua and Barbuda,Sugar beet,0
Antigua and Barbuda,Sugar (Raw Equivalent),215
Antigua and Barbuda,"Sweeteners, Other",31
Antigua and Barbuda,Honey,3
Antigua and Barbuda,Beans,10
Antigua and Barbuda,Peas,4
Antigua and Barbuda,"Pulses, Other and products",7
Antigua and Barbuda,Nuts and products,4
Antigua and Barbuda,Soyabeans,0
Antigua and Barbuda,Groundnuts,12
Antigua and Barbuda,Sunflower seed,0
Antigua and Barbuda,Rape and Mustardseed,4
Antigua and Barbuda,Coconuts - Incl Copra,3
Antigua and Barbuda,Sesame seed,0
Antigua and Barbuda,Olives (including preserved),1
Antigua and Barbuda,"Oilcrops, Other",0
Antigua and Barbuda,Soyabean Oil,95
Antigua and Barbuda,Groundnut Oil,8
Antigua and Barbuda,Sunflowerseed Oil,2
Antigua and Barbuda,Rape and Mustard Oil,5
Antigua and Barbuda,Cottonseed Oil,2
Antigua and Barbuda,Coconut Oil,3
Antigua and Barbuda,Sesameseed Oil,1
Antigua and Barbuda,Olive Oil,21
Antigua and Barbuda,Maize Germ Oil,3
Antigua and Barbuda,"Oilcrops Oil, Other",103
Antigua and Barbuda,Tomatoes and products,5
Antigua and Barbuda,Onions,6
Antigua and Barbuda,"Vegetables, other",40
Antigua and Barbuda,"Oranges, Mandarines",10
Antigua and Barbuda,"Lemons, Limes and products",2
Antigua and Barbuda,Grapefruit and products,1
Antigua and Barbuda,"Citrus, Other",1
Antigua and Barbuda,Bananas,29
Antigua and Barbuda,Plantains,6
Antigua and Barbuda,Apples and products,7
Antigua and Barbuda,Pineapples and products,6
Antigua and Barbuda,Dates,0
Antigua and Barbuda,Grapes and products (excl wine),5
Antigua and Barbuda,"Fruits, other",109
Antigua and Barbuda,Coffee and products,3
Antigua and Barbuda,Cocoa Beans and products,25
Antigua and Barbuda,Tea (including mate),1
Antigua and Barbuda,Pepper,3
Antigua and Barbuda,Pimento,2
Antigua and Barbuda,Cloves,0
Antigua and Barbuda,"Spices, Other",14
Antigua and Barbuda,Wine,19
Antigua and Barbuda,Beer,42
Antigua and Barbuda,"Beverages, Fermented",1
Antigua and Barbuda,"Beverages, Alcoholic",65
Antigua and Barbuda,Bovine Meat,36
Antigua and Barbuda,Mutton & Goat Meat,8
Antigua and Barbuda,Pigmeat,46
Antigua and Barbuda,Poultry Meat,264
Antigua and Barbuda,"Meat, Other",2
Antigua and Barbuda,"Offals, Edible",8
Antigua and Barbuda,"Butter, Ghee",25
Antigua and Barbuda,Cream,11
Antigua and Barbuda,"Fats, Animals, Raw",86
Antigua and Barbuda,"Fish, Body Oil",0
Antigua and Barbuda,"Fish, Liver Oil",1
Antigua and Barbuda,Eggs,17
Antigua and Barbuda,Milk - Excluding Butter,139
Antigua and Barbuda,Freshwater Fish,3
Antigua and Barbuda,Demersal Fish,5
Antigua and Barbuda,Pelagic Fish,25
Antigua and Barbuda,"Marine Fish, Other",44
Antigua and Barbuda,Crustaceans,7
Antigua and Barbuda,Cephalopods,0
Antigua and Barbuda,"Molluscs, Other",3
Antigua and Barbuda,Aquatic Plants,0
Antigua and Barbuda,Infant food,7
Antigua and Barbuda,Miscellaneous,8
Argentina,Wheat and products,927
Argentina,Rice and products,77
Argentina,Maize and products,28
Argentina,Oats,6
Argentina,"Cereals, Other",11
Argentina,Cassava and products,4
Argentina,Potatoes and products,74
Argentina,Sweet potatoes,6
Argentina,"Roots, Other",0
Argentina,Sugar (Raw Equivalent),369
Argentina,"Sweeteners, Other",68
Argentina,Honey,0
Argentina,Beans,19
Argentina,Peas,19
Argentina,"Pulses, Other and products",17
Argentina,Nuts and products,3
Argentina,Soyabeans,0
Argentina,Groundnuts,5
Argentina,Rape and Mustardseed,0
Argentina,Coconuts - Incl Copra,1
Argentina,Sesame seed,0
Argentina,Olives (including preserved),2
Argentina,"Oilcrops, Other",0
Argentina,Soyabean Oil,71
Argentina,Groundnut Oil,5
Argentina,Sunflowerseed Oil,270
Argentina,Rape and Mustard Oil,2
Argentina,Cottonseed Oil,6
Argentina,Palmkernel Oil,0
Argentina,Palm Oil,0
Argentina,Coconut Oil,2
Argentina,Sesameseed Oil,0
Argentina,Olive Oil,7
Argentina,Maize Germ Oil,9
Argentina,"Oilcrops Oil, Other",13
Argentina,Tomatoes and products,13
Argentina,Onions,11
Argentina,"Vegetables, other",29
Argentina,"Oranges, Mandarines",19
Argentina,"Lemons, Limes and products",6
Argentina,Grapefruit and products,1
Argentina,"Citrus, Other",0
Argentina,Bananas,22
Argentina,Plantains,0
Argentina,Apples and products,7
Argentina,Pineapples and products,1
Argentina,Dates,0
Argentina,Grapes and products (excl wine),9
Argentina,"Fruits, other",15
Argentina,Coffee and products,1
Argentina,Cocoa Beans and products,7
Argentina,Tea (including mate),26
Argentina,Pepper,0
Argentina,Pimento,1
Argentina,Cloves,0
Argentina,"Spices, Other",1
Argentina,Wine,42
Argentina,Beer,42
Argentina,"Beverages, Fermented",0
Argentina,"Beverages, Alcoholic",13
Argentina,Bovine Meat,300
Argentina,Mutton & Goat Meat,8
Argentina,Pigmeat,112
Argentina,Poultry Meat,194
Argentina,"Meat, Other",4
Argentina,"Offals, Edible",29
Argentina,"Butter, Ghee",10
Argentina,Cream,0
Argentina,"Fats, Animals, Raw",67
Argentina,"Fish, Body Oil",0
Argentina,"Fish, Liver Oil",0
Argentina,Eggs,57
Argentina,Milk - Excluding Butter,230
Argentina,Freshwater Fish,0
Argentina,Demersal Fish,4
Argentina,Pelagic Fish,4
Argentina,"Marine Fish, Other",0
Argentina,Crustaceans,2
Argentina,Cephalopods,1
Argentina,"Molluscs, Other",0
Argentina,"Aquatic Animals, Others",0
Argentina,Aquatic Plants,0
Armenia,Wheat and products,1087
Armenia,Rice and products,38
Armenia,Barley and products,34
Armenia,Maize and products,119
Armenia,Rye and products,3
Armenia,Oats,5
Armenia,"Cereals, Other",23
Armenia,Potatoes and products,120
Armenia,Sweet potatoes,0
Armenia,"Roots, Other",0
Armenia,Sugar (Raw Equivalent),297
Armenia,"Sweeteners, Other",40
Armenia,Honey,6
Armenia,Beans,10
Armenia,Peas,2
Armenia,"Pulses, Other and products",11
Armenia,Nuts and products,13
Armenia,Soyabeans,0
Armenia,Groundnuts,11
Armenia,Rape and Mustardseed,0
Armenia,Coconuts - Incl Copra,1
Armenia,Sesame seed,1
Armenia,Olives (including preserved),3
Armenia,"Oilcrops, Other",1
Armenia,Soyabean Oil,5
Armenia,Groundnut Oil,0
Armenia,Sunflowerseed Oil,164
Armenia,Rape and Mustard Oil,0
Armenia,Cottonseed Oil,0
Armenia,Coconut Oil,3
Armenia,Sesameseed Oil,0
Armenia,Olive Oil,1
Armenia,Maize Germ Oil,4
Armenia,"Oilcrops Oil, Other",45
Armenia,Tomatoes and products,21
Armenia,Onions,12
Armenia,"Vegetables, other",95
Armenia,"Oranges, Mandarines",7
Armenia,"Lemons, Limes and products",0
Armenia,Grapefruit and products,0
Armenia,"Citrus, Other",0
Armenia,Bananas,12
Armenia,Plantains,0
Armenia,Apples and products,15
Armenia,Pineapples and products,1
Armenia,Dates,1
Armenia,Grapes and products (excl wine),28
Armenia,"Fruits, other",77
Armenia,Coffee and products,6
Armenia,Cocoa Beans and products,38
Armenia,Tea (including mate),0
Armenia,Pepper,0
Armenia,Pimento,0
Armenia,"Spices, Other",1
Armenia,Wine,5
Armenia,Beer,13
Armenia,"Beverages, Fermented",0
Armenia,"Beverages, Alcoholic",8
Armenia,Bovine Meat,146
Armenia,Mutton & Goat Meat,23
Armenia,Pigmeat,77
Armenia,Poultry Meat,62
Armenia,"Meat, Other",1
Armenia,"Offals, Edible",19
Armenia,"Butter, Ghee",26
Armenia,Cream,0
Armenia,"Fats, Animals, Raw",91
Armenia,"Fish, Body Oil",0
Armenia,"Fish, Liver Oil",0
Armenia,Eggs,45
Armenia,Milk - Excluding Butter,332
Armenia,Freshwater Fish,8
Armenia,Demersal Fish,0
Armenia,Pelagic Fish,1
Armenia,"Marine Fish, Other",1
Armenia,Crustaceans,0
Armenia,Cephalopods,0
Armenia,"Molluscs, Other",0
Armenia,"Aquatic Animals, Others",0
Armenia,Aquatic Plants,0
Armenia,Infant food,2
Armenia,Miscellaneous,6
Australia,Wheat and products,616
Australia,Rice and products,82
Australia,Barley and products,0
Australia,Maize and products,36
Australia,Rye and products,0
Australia,Oats,4
Australia,Sorghum and products,2
Australia,"Cereals, Other",14
Australia,Cassava and products,0
Australia,Potatoes and products,78
Australia,Sweet potatoes,5
Australia,Yams,0
Australia,"Roots, Other",0
Australia,Sugar (Raw Equivalent),393
Australia,"Sweeteners, Other",9
Australia,Honey,4
Australia,Beans,16
Australia,Peas,32
Australia,"Pulses, Other and products",9
Australia,Nuts and products,68
Australia,Soyabeans,1
Australia,Groundnuts,21
Australia,Rape and Mustardseed,1
Australia,Coconuts - Incl Copra,10
Australia,Olives (including preserved),2
Australia,"Oilcrops, Other",0
Australia,Soyabean Oil,12
Australia,Groundnut Oil,1
Australia,Sunflowerseed Oil,14
Australia,Rape and Mustard Oil,205
Australia,Cottonseed Oil,50
Australia,Palmkernel Oil,0
Australia,Palm Oil,85
Australia,Coconut Oil,4
Australia,Sesameseed Oil,5
Australia,Olive Oil,48
Australia,Maize Germ Oil,2
Australia,"Oilcrops Oil, Other",145
Australia,Tomatoes and products,10
Australia,Onions,8
Australia,"Vegetables, other",55
Australia,"Oranges, Mandarines",8
Australia,"Lemons, Limes and products",1
Australia,Grapefruit and products,0
Australia,"Citrus, Other",0
Australia,Bananas,20
Australia,Plantains,0
Australia,Apples and products,15
Australia,Pineapples and products,5
Australia,Dates,1
Australia,Grapes and products (excl wine),7
Australia,"Fruits, other",36
Australia,Coffee and products,6
Australia,Cocoa Beans and products,23
Australia,Tea (including mate),1
Australia,Pepper,1
Australia,Pimento,2
Australia,Cloves,0
Australia,"Spices, Other",4
Australia,Wine,38
Australia,Beer,72
Australia,"Beverages, Fermented",1
Australia,"Beverages, Alcoholic",32
Australia,Bovine Meat,81
Australia,Mutton & Goat Meat,64
Australia,Pigmeat,129
Australia,Poultry Meat,199
Australia,"Meat, Other",2
Australia,"Offals, Edible",27
Australia,"Butter, Ghee",75
Australia,Cream,1
Australia,"Fats, Animals, Raw",59
Australia,"Fish, Body Oil",0
Australia,"Fish, Liver Oil",0
Australia,Eggs,32
Australia,Milk - Excluding Butter,391
Australia,Freshwater Fish,8
Australia,Demersal Fish,5
Australia,Pelagic Fish,14
Australia,"Marine Fish, Other",5
Australia,Crustaceans,5
Australia,Cephalopods,3
Australia,"Molluscs, Other",1
Australia,"Aquatic Animals, Others",0
Australia,Aquatic Plants,0
Australia,Infant food,1
Australia,Miscellaneous,18
Austria,Wheat and products,670
Austria,Rice and products,36
Austria,Barley and products,6
Austria,Maize and products,82
Austria,Rye and products,79
Austria,Oats,14
Austria,"Cereals, Other",18
Austria,Potatoes and products,104
Austria,Sweet potatoes,1
Austria,Yams,0
Austria,"Roots, Other",0
Austria,Sugar (Raw Equivalent),356
Austria,"Sweeteners, Other",36
Austria,Honey,8
Austria,Beans,1
Austria,Peas,3
Austria,"Pulses, Other and products",10
Austria,Nuts and products,37
Austria,Soyabeans,26
Austria,Groundnuts,12
Austria,Sunflower seed,8
Austria,Rape and Mustardseed,0
Austria,Coconuts - Incl Copra,3
Austria,Sesame seed,5
Austria,Olives (including preserved),2
Austria,"Oilcrops, Other",3
Austria,Soyabean Oil,62
Austria,Groundnut Oil,1
Austria,Sunflowerseed Oil,242
Austria,Rape and Mustard Oil,183
Austria,Cottonseed Oil,0
Austria,Palm Oil,7
Austria,Coconut Oil,23
Austria,Sesameseed Oil,0
Austria,Olive Oil,23
Austria,Maize Germ Oil,0
Austria,"Oilcrops Oil, Other",17
Austria,Tomatoes and products,13
Austria,Onions,11
Austria,"Vegetables, other",54
Austria,"Oranges, Mandarines",14
Austria,"Lemons, Limes and products",2
Austria,Grapefruit and products,0
Austria,"Citrus, Other",1
Austria,Bananas,23
Austria,Plantains,0
Austria,Apples and products,26
Austria,Pineapples and products,4
Austria,Dates,2
Austria,Grapes and products (excl wine),8
Austria,"Fruits, other",41
Austria,Coffee and products,10
Austria,Cocoa Beans and products,13
Austria,Tea (including mate),0
Austria,Pepper,1
Austria,Pimento,2
Austria,Cloves,0
Austria,"Spices, Other",6
Austria,Wine,49
Austria,Beer,143
