Area,Item,Value
Algeria,Potatoes and products,65.14
Algeria,Sweet potatoes,0
Algeria,"Roots, Other",0
Algeria,Sugar beet,0
Algeria,Sugar (Raw Equivalent),28.23
Algeria,"Sweeteners, Other",2.81
Algeria,Honey,0.14
Algeria,Beans,1.54
Algeria,Peas,0.42
Algeria,"Pulses, Other and products",4.73
Algeria,Nuts and products,1.93
Algeria,Soyabeans,0
Algeria,Groundnuts,0.24
Algeria,Rape and Mustardseed,0
Algeria,Coconuts - Incl Copra,0.03
Algeria,Sesame seed,0.1
Algeria,Olives (including preserved),4.08
Algeria,"Oilcrops, Other",0
Algeria,Soyabean Oil,14.64
Algeria,Groundnut Oil,0.57
Algeria,Sunflowerseed Oil,1.26
Algeria,Rape and Mustard Oil,0.19
Algeria,Palm Oil,0.36
Algeria,Coconut Oil,0.04
Algeria,Sesameseed Oil,0
Algeria,Olive Oil,2.15
Algeria,Maize Germ Oil,0
Algeria,"Oilcrops Oil, Other",1.79
Algeria,Tomatoes and products,34.52
Algeria,Onions,34.34
Algeria,"Vegetables, other",137.39
Algeria,"Oranges, Mandarines",31.76
Algeria,"Lemons, Limes and products",1.85
Algeria,Grapefruit and products,0.04
Algeria,"Citrus, Other",0.02
Algeria,Bananas,4.32
Algeria,Plantains,0
Algeria,Apples and products,12.38
Algeria,Pineapples and products,0.14
Algeria,Dates,21.67
Algeria,Grapes and products (excl wine),12.71
Algeria,"Fruits, other",22.57
Algeria,Coffee and products,2.83
Algeria,Cocoa Beans and products,0
Algeria,Tea (including mate),0.36
Algeria,Pepper,0.06
Algeria,Pimento,0.43
Algeria,Cloves,0
Algeria,"Spices, Other",0.25
Algeria,Bovine Meat,4.85
Algeria,Mutton & Goat Meat,8.07
Algeria,Poultry Meat,6.51
Algeria,"Meat, Other",0.34
Algeria,"Offals, Edible",1.51
Algeria,"Butter, Ghee",0.4
Algeria,Cream,0
Algeria,"Fats, Animals, Raw",0.26
Algeria,"Fish, Body Oil",0
Algeria,"Fish, Liver Oil",0
Algeria,Eggs,6.76
Algeria,Milk - Excluding Butter,74.06
Algeria,Freshwater Fish,0.19
Algeria,Demersal Fish,0.31
Algeria,Pelagic Fish,2.87
Algeria,"Marine Fish, Other",0.36
Algeria,Crustaceans,0.08
Algeria,Cephalopods,0.03
Algeria,"Molluscs, Other",0.01
Algeria,"Aquatic Animals, Others",0
Algeria,Aquatic Plants,0
Algeria,Infant food,0.52
Algeria,Miscellaneous,1.89
Angola,Wheat and products,27.17
Angola,Rice and products,23.5
Angola,Barley and products,0
Angola,Maize and products,45.81
Angola,Rye and products,0
Angola,Oats,0.03
Angola,Millet and products,1.35
Angola,Sorghum and products,0
Angola,"Cereals, Other",0
Angola,Cassava and products,226.1
Angola,Potatoes and products,10.59
Angola,Sweet potatoes,39.53
Angola,"Roots, Other",0
Angola,Sugar cane,0
Angola,Sugar (Raw Equivalent),12.49
Angola,"Sweeteners, Other",9.23
Angola,Honey,0.74
Angola,Beans,7.24
Angola,"Pulses, Other and products",0.72
Angola,Nuts and products,0.08
Angola,Soyabeans,0.35
Angola,Groundnuts,3.34
Angola,Rape and Mustardseed,0
Angola,Coconuts - Incl Copra,0.11
Angola,Sesame seed,0.09
Angola,Olives (including preserved),0
Angola,Soyabean Oil,2.82
Angola,Groundnut Oil,0.89
Angola,Sunflowerseed Oil,0.27
Angola,Rape and Mustard Oil,0
Angola,Cottonseed Oil,0.02
Angola,Palmkernel Oil,0.23
Angola,Palm Oil,6.93
Angola,Coconut Oil,0
Angola,Sesameseed Oil,0
Angola,Olive Oil,0.06
Angola,Ricebran Oil,0
Angola,Maize Germ Oil,0
Angola,"Oilcrops Oil, Other",0.02
Angola,Tomatoes and products,2.12
Angola,Onions,0.64
Angola,"Vegetables, other",20.49
Angola,"Oranges, Mandarines",0.12
Angola,"Lemons, Limes and products",0.04
Angola,Grapefruit and products,0
Angola,"Citrus, Other",11.95
Angola,Bananas,37.32
Angola,Apples and products,0.38
Angola,Pineapples and products,18.52
Angola,Dates,0
Angola,Grapes and products (excl wine),0.04
Angola,"Fruits, other",1.83
Angola,Coffee and products,0.55
Angola,Cocoa Beans and products,0
Angola,Tea (including mate),0.03
Angola,Pepper,0
Angola,Pimento,0
Angola,Cloves,0
Angola,"Spices, Other",0.02
Angola,Bovine Meat,4.17
Angola,Mutton & Goat Meat,0.81
Angola,Poultry Meat,9.86
Angola,"Meat, Other",0.32
Angola,"Offals, Edible",1.46
Angola,"Butter, Ghee",0.04
Angola,Cream,0.11
Angola,"Fats, Animals, Raw",0.32
Angola,"Fish, Body Oil",0
Angola,Eggs,0.07
Angola,Milk - Excluding Butter,6.42
Angola,Freshwater Fish,1.18
Angola,Demersal Fish,2.92
Angola,Pelagic Fish,9.42
Angola,"Marine Fish, Other",1.03
Angola,Crustaceans,0.04
Angola,Cephalopods,0
Angola,"Molluscs, Other",0.01
Angola,"Aquatic Animals, Others",0
Angola,Aquatic Plants,0
Angola,Infant food,0.14
Angola,Miscellaneous,1.51
Antigua and Barbuda,Wheat and products,68.7
Antigua and Barbuda,Rice and products,12.41
Antigua and Barbuda,Barley and products,0
Antigua and Barbuda,Maize and products,1.19
Antigua and Barbuda,Rye and products,0.01
Antigua and Barbuda,Oats,1.18
Antigua and Barbuda,Millet and products,0
Antigua and Barbuda,"Cereals, Other",0.63
Antigua and Barbuda,Cassava and products,0.78
Antigua and Barbuda,Potatoes and products,11.52
Antigua and Barbuda,Sweet potatoes,2.33
Antigua and Barbuda,Yams,1.35
Antigua and Barbuda,"Roots, Other",1.31
Antigua and Barbuda,Sugar beet,0.02
Antigua and Barbuda,Sugar (Raw Equivalent),22.72
Antigua and Barbuda,"Sweeteners, Other",28.34
Antigua and Barbuda,Honey,0.37
Antigua and Barbuda,Beans,1.03
Antigua and Barbuda,Peas,0.39
Antigua and Barbuda,"Pulses, Other and products",0.7
Antigua and Barbuda,Nuts and products,0.36
Antigua and Barbuda,Soyabeans,0.25
Antigua and Barbuda,Groundnuts,0.81
Antigua and Barbuda,Sunflower seed,0.04
Antigua and Barbuda,Rape and Mustardseed,0
Antigua and Barbuda,Coconuts - Incl Copra,0.44
Antigua and Barbuda,Sesame seed,0.02
Antigua and Barbuda,Olives (including preserved),0.31
Antigua and Barbuda,"Oilcrops, Other",0.01
Antigua and Barbuda,Soyabean Oil,3.9
Antigua and Barbuda,Groundnut Oil,0.34
Antigua and Barbuda,Sunflowerseed Oil,0.09
Antigua and Barbuda,Rape and Mustard Oil,0.21
Antigua and Barbuda,Cottonseed Oil,0.09
Antigua and Barbuda,Palmkernel Oil,0
Antigua and Barbuda,Palm Oil,0
Antigua and Barbuda,Coconut Oil,0.12
Antigua and Barbuda,Sesameseed Oil,0.06
Antigua and Barbuda,Olive Oil,0.88
Antigua and Barbuda,Maize Germ Oil,0.11
Antigua and Barbuda,"Oilcrops Oil, Other",5.07
Antigua and Barbuda,Tomatoes and products,5.82
Antigua and Barbuda,Onions,5.63
Antigua and Barbuda,"Vegetables, other",44.71
Antigua and Barbuda,"Oranges, Mandarines",5.36
Antigua and Barbuda,"Lemons, Limes and products",4.8
Antigua and Barbuda,Grapefruit and products,0.84
Antigua and Barbuda,"Citrus, Other",0.6
Antigua and Barbuda,Bananas,17.87
Antigua and Barbuda,Plantains,3.09
Antigua and Barbuda,Apples and products,5.47
Antigua and Barbuda,Pineapples and products,4.75
Antigua and Barbuda,Dates,0.09
Antigua and Barbuda,Grapes and products (excl wine),2.66
Antigua and Barbuda,"Fruits, other",87.46
Antigua and Barbuda,Coffee and products,1.17
Antigua and Barbuda,Cocoa Beans and products,0
Antigua and Barbuda,Tea (including mate),0.73
Antigua and Barbuda,Pepper,0.4
Antigua and Barbuda,Pimento,0.19
Antigua and Barbuda,Cloves,0.05
Antigua and Barbuda,"Spices, Other",1.51
Antigua and Barbuda,Bovine Meat,6.74
Antigua and Barbuda,Mutton & Goat Meat,1.76
Antigua and Barbuda,Poultry Meat,60.95
Antigua and Barbuda,"Meat, Other",0.31
Antigua and Barbuda,"Offals, Edible",2.64
Antigua and Barbuda,"Butter, Ghee",1.26
Antigua and Barbuda,Cream,2.07
Antigua and Barbuda,"Fats, Animals, Raw",0.06
Antigua and Barbuda,"Fish, Body Oil",0
Antigua and Barbuda,"Fish, Liver Oil",0.04
Antigua and Barbuda,Eggs,4.7
Antigua and Barbuda,Milk - Excluding Butter,43.11
